what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299623618150
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299623618250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299623619915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299623628229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299623631034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299623681313
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1299623687383
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1299623687726
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1299623694445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299623696567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626684143
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1299626684176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626692298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626791580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626812862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626859383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626859391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299626859544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299630007701
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299630007738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299630007738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299630012347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299630017934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299630021943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299630124014
